"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U7","HD3SS3220IRNHT","Top","FP-RNH0030A-MFG","24.6250","27.2500","180","USB TYPE-C DRP PORT CONTROLLER W"
"R27","499k","Top","FP-AC0402-IPC_C","33.0000","25.2730","180","RES 499kO ±1% 0.063W 0402"
"R21","10k","Top","FP-AC0402-MFG","63.7110","35.8730","0","RES 10kO ±1% 0.063W 0402"
"C79","100n","Bottom","FP-GRT155-0_05-IPC_C","11.9500","28.5000","90","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C68","100n","Bottom","FP-GRT155-0_05-IPC_C","28.8544","11.8872","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"U5","HD3SS3220IRNHT","Top","FP-RNH0030A-MFG","74.2000","38.6000","0","USB TYPE-C DRP PORT CONTROLLER W"
"X1","24MHz","Top","ABM10N240000MHZ10B1UT3","51.7794","44.6792","90","24 MHz +/-10ppm Crystal 10pF 50 Ohms 4-SMD, No Lead , -20C ~ 70C"
"U12","TPS2561QDRCRQ1","Bottom","DRC0010A_V","8.8750","28.0000","0","Automotive Catalog Dual Channel Precision Adjustable Current-Limited Power Switch, 0.25 to 2.5 A Current Limit, -40 to 125 degC, 10-pin SON (DRC), Green (RoHS & no Sb/Br)"
"U11","TPD4E05U06QDQARQ1","Top","FP-DQA0010A-MFG","38.5000","19.3000","90","TVS DIODE 5.5V 14V 10USON"
"U10","TPD4E05U06QDQARQ1","Top","FP-DQA0010A-MFG","67.7500","17.0000","90","TVS DIODE 5.5V 14V 10USON"
"U9","TPS2561QDRCRQ1","Bottom","DRC0010A_V","29.2778","42.5852","0","Automotive Catalog Dual Channel Precision Adjustable Current-Limited Power Switch, 0.25 to 2.5 A Current Limit, -40 to 125 degC, 10-pin SON (DRC), Green (RoHS & no Sb/Br)"
"U8","TPD4E05U06QDQARQ1","Top","FP-DQA0010A-MFG","19.8250","12.5000","270","TVS DIODE 5.5V 14V 10USON"
"U6","24LC08BT-I/OT","Top","FP-C04-091-OT-MFG","74.2764","30.7158","0","IC EEPROM 8K I2C 400KHZ SOT23-5"
"U4","TPD4E05U06QDQARQ1","Top","FP-DQA0010A-MFG","86.6000","35.0750","0","TVS DIODE 5.5V 14V 10USON"
"U3","TUSB8044ARGCR","Top","QFN50P900X900X100-65N-D","55.0000","35.0000","0","Four-port USB 3.2 x1 Gen1 hub with USB billboard"
"U2","TPS74801RGWRM3","Bottom","TI-RGW20-3150X3150TP_V","71.0500","26.6250","270","Single Output LDO, 1.5 A, Adjustable 0.8 to 3.6 V Output, 0.8 to 5.5 V Input, with Programmable Soft Start, 20-pin VQFN (RGW), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U1","TLV62569PDDCT","Bottom","FP-DDC0006A-IPC_C","84.9260","39.6670","0","IC REG BUCK ADJ 2A TSOT23-6"
"R39","37.4k","Bottom","FP-AC0402-IPC_B","11.4808","30.6324","270","RES 37.4kO ±1% 0.063W 0402"
"R38","10k","Top","FP-AC0402-MFG","7.4676","31.2170","270","RES 10kO ±1% 0.063W 0402"
"R37","10k","Top","FP-AC0402-MFG","10.2616","31.2166","270","RES 10kO ±1% 0.063W 0402"
"R36","56k","Top","FP-AC0402-IPC_A","34.6162","43.5864","180","RES 56kO ±1% 0.063W 0402"
"R35","10k","Top","FP-AC0402-MFG","25.7028","40.7852","90","RES 10kO ±1% 0.063W 0402"
"R34","10k","Top","FP-AC0402-MFG","34.5440","45.0342","180","RES 10kO ±1% 0.063W 0402"
"R33","10k","Bottom","FP-AC0402-MFG","30.1752","39.9796","0","RES 10kO ±1% 0.063W 0402"
"R32","10k","Top","FP-AC0402-MFG","26.9028","40.7852","90","RES 10kO ±1% 0.063W 0402"
"R31","100k","Top","FP-AC0402-MFG","3.9500","33.9000","0","RES 100kO ±1% 0.125W 0402"
"R30","100k","Top","FP-AC0402-MFG","1.4224","31.6000","90","RES 100kO ±1% 0.125W 0402"
"R29","10k","Top","FP-AC0402-MFG","2.9464","29.3878","180","RES 10kO ±1% 0.063W 0402"
"R28","10k","Top","FP-AC0402-MFG","8.9500","25.6000","0","RES 10kO ±1% 0.063W 0402"
"R26","909k","Top","FP-AC0402-IPC_A","33.0000","27.4574","180","RES 909kO ±1% 0.063W 0402"
"R25","4.7k","Top","FP-AC0402-MFG","33.0000","26.2890","180","RES 4.7kO ±1% 0.063W 0402"
"R24","200k","Bottom","FP-AC0402-MFG","25.8318","31.6484","90","RES 200kO ±1% 0.063W 0402"
"R23","10k","Top","FP-AC0402-MFG","75.1840","33.2232","180","RES 10kO ±1% 0.063W 0402"
"R20","1M","Top","FP-AC0402-IPC_A","52.0700","42.3926","180","RES 1MO ±1% 0.063W 0402"
"R19","10k","Top","FP-AC0402-MFG","61.6204","46.0502","180","RES 10kO ±1% 0.063W 0402"
"R18","9.53k","Top","FP-AC0402-IPC_C","49.6824","40.0304","180","RES 9.53kO ±1% 0.063W 0402"
"R17","10k","Top","FP-AC0402-MFG","63.7112","33.8730","180","RES 10kO ±1% 0.063W 0402"
"R16","10k","Top","FP-AC0402-MFG","63.7112","34.8730","180","RES 10kO ±1% 0.063W 0402"
"R15","4.7k","Top","FP-AC0402-MFG","71.5518","29.2608","270","RES 4.7kO ±1% 0.063W 0402"
"R14","4.7k","Top","FP-AC0402-MFG","71.5264","32.1818","90","RES 4.7kO ±1% 0.063W 0402"
"R13","909k","Top","FP-AC0402-IPC_A","67.6910","41.1480","270","RES 909kO ±1% 0.063W 0402"
"R12","4.7k","Bottom","FP-AC0402-MFG","70.0532","40.5384","0","RES 4.7kO ±1% 0.063W 0402"
"R11","200k","Top","FP-AC0402-MFG","72.3900","35.5600","180","RES 200kO ±1% 0.063W 0402"
"R10","10k","Top","FP-AC0402-MFG","84.9376","44.8992","270","RES 10kO ±1% 0.063W 0402"
"R9","90.9k","Top","FP-AC0402-MFG","85.4456","43.4086","0","RES 90.9kO ±1% 0.063W 0402"
"R8","4.99k","Bottom","FP-AC0402-IPC_A","66.9500","25.2250","270","RES 4.99kO ±1% 0.125W 0402"
"R7","1.87k","Bottom","FP-AC0402-IPC_A","65.6500","25.2250","90","RES 1.87kO ±1% 0.063W 0402"
"R6","100k","Bottom","FP-AC0402-MFG","74.7500","25.3250","270","RES 100kO ±1% 0.125W 0402"
"R5","470","Top","FP-AC0402-MFG","17.4752","44.1450","270","RES 100kO ±1% 0.125W 0402"
"R4","2.2k","Top","FP-AC0402-MFG","20.3200","44.1452","270","RES 100kO ±1% 0.125W 0402"
"R3","100k","Bottom","FP-AC0402-MFG","87.5792","37.8460","90","RES 100kO ±1% 0.125W 0402"
"R2","100k","Bottom","FP-AC0402-MFG","88.1500","39.3500","0","RES 100kO ±1% 0.125W 0402"
"R1","453k","Bottom","FP-ERJ2RK-MFG","85.5750","36.7500","270",""
